,pluno,bndno,type5,type4,type3,type2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
9895,22000005,22000005,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001
13616,22000008,22000008,22000,2200,220,22,0.0,0.0,0.7040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9058,22000009,22000009,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786
14252,22000010,22000010,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,2.728,5.534000000000001,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8045,22000014,22000014,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,0.0,0.0,0.49200000000000005,0.0
15696,22000029,22000029,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.992,0.0,1.023,0.51,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,22000031,22000031,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7020000000000001,0.0,0.586,1.338,0.0,0.6,0.0,0.0
970,22000049,22000049,22000,2200,220,22,0.0,0.0,0.0,0.0,2.026,0.0,2.6959999999999997,1.202,0.0,3.454,0.0,6.000000000000001,1.626,2.64,1.9760000000000002,2.878,0.0,1.998,1.666,1.136,0.956,1.212,0.0,0.728,1.07,0.0
14096,22001000,22001000,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.266,0.0
9064,22001001,22001001,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,5.084,3.9779999999999998,3.5680000000000005,1.908,1.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.55
12964,22001003,22001003,22001,2200,220,22,0.0,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8669,22001006,22001006,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098000000000001,6.4319999999999995,9.626000000000001,5.731999999999999,12.838,2.082,0.912,2.294,0.852,0.0,0.0,0.0,0.978,1.078,0.0,0.0,0.0
8711,22001008,22001008,22001,2200,220,22,0.0,0.0,4.794,1.5019999999999998,0.0,0.0,4.316,5.7,1.5019999999999998,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8300,22001012,22001012,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,0.0
14973,22001038,22001038,22001,2200,220,22,4.667999999999999,2.124,0.684,0.0,3.676,0.0,1.298,2.038,0.8440000000000001,1.028,1.462,1.242,0.0,0.878,0.0,0.5820000000000001,0.7440000000000001,2.0060000000000002,0.0,0.0,0.0,1.4659999999999997,0.0,0.0,0.0,0.0
13984,22002002,22002002,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9098,22002006,22002006,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.188,0.0,0.0,0.0,0.0,0.0,0.0
13714,22002008,22002008,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779999999999999,0.0,0.0
15814,22002239,22002239,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868,2.598,1.81,4.446,5.412,7.486,1.66,1.72,0.0
15943,22002240,22002240,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.8540000000000001,2.098,3.716,0.0,3.372,4.3759999999999994,7.674,3.936,0.8240000000000001,0.0,0.0,0.42300000000000004
100,22002242,22002242,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.622,0.0,0.0,0.0,0.0
13431,22003000,22003000,22003,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7495,22003002,22003002,22003,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,0.0,0.0,0.596,0.792,1.166
644,22004008,22004008,22004,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.728,0.8300000000000001,0.34,0.0,1.062,0.001,0.94,0.0,0.0,0.0,0.0,0.0
13444,22005000,22005000,22005,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4540000000000002,1.572,2.418,0.0,0.486,1.048,0.0,0.0,0.0,0.0,0.001
14309,22005001,22005001,22005,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14543,22005006,22005006,22005,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.258,1.6400000000000001,0.43799999999999994,0.0,0.0,0.0
8069,22007004,22007004,22007,2200,220,22,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9470,22007005,22007005,22007,2200,220,22,3.2119999999999997,0.318,0.0,0.996,0.0,0.0,0.622,0.726,0.003,0.0,0.452,0.663,0.0,0.0,0.5479999999999999,1.12,0.716,0.0,0.0,0.43,0.0,0.0,0.7240000000000001,0.0,0.0,0.0
165,22007008,22007008,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.532,0.0,0.0,0.0
14051,22007011,22007011,22007,2200,220,22,0.0,0.0,0.0,0.0,0.35600000000000004,0.0,0.005,0.27,0.472,0.662,0.0,0.0,0.41,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11391,22007019,22007019,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9236,22007022,22007022,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0
88,22007026,22007026,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.0,1.82,0.322,1.8940000000000001,1.226,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,22007027,22007027,22007,2200,220,22,4.0600000000000005,0.6679999999999999,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,22007031,22007031,22007,2200,220,22,0.0,0.0,0.5,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.495,0.495,4.0,0.8,0.64,0.64
14267,22008000,22008000,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12791,22008001,22008001,22008,2200,220,22,0.0,0.0,0.82,1.258,0.858,3.651,0.0,0.009000000000000001,0.008,0.0,0.0,2.2640000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13664,22008007,22008007,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0
13497,22008009,22008009,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.784,0.376,0.934,0.0,0.8880000000000001,0.0,1.714,0.0,0.0,0.586,1.588
14080,22008011,22008011,22008,2200,220,22,0.812,0.0,0.754,0.418,0.844,0.376,0.0,0.0,0.43400000000000005,0.952,0.28800000000000003,0.0,0.0,0.0,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13863,22008012,22008012,22008,2200,220,22,8.934,0.0,0.758,3.5039999999999996,0.0,0.312,0.47,1.8519999999999999,2.16,0.0,2.39,9.212,2.04,6.340000000000001,5.5600000000000005,0.0,9.186,3.564,3.508,0.0,0.0,0.382,0.0,0.304,0.0,0.0
500,22008017,22008017,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14967,22008019,22008019,22008,2200,220,22,1.4180000000000001,0.504,0.0,5.489,3.184,2.146,4.57,2.36,2.7560000000000002,6.681000000000001,1.725,3.426,2.259,4.1240000000000006,3.471,1.196,0.001,2.354,0.812,0.0,1.54,1.286,0.0,0.604,0.0,0.0
9980,22008020,22008020,22008,2200,220,22,6.553999999999999,0.428,0.0,1.6640000000000001,5.1160000000000005,1.552,1.714,2.08,0.609,1.7680000000000002,0.0,0.41600000000000004,4.726,4.846,3.32,1.7679999999999998,4.08,5.055999999999999,0.0,0.0,0.49,0.0,0.39,0.0,0.0,0.6
8511,22008021,22008021,22008,2200,220,22,1.863,3.64,4.902000000000001,0.9059999999999999,1.3399999999999999,0.55,0.512,4.134,0.497,3.24,0.496,0.0,0.0,5.877999999999999,1.8159999999999998,1.146,0.0,0.0,0.001,0.0,1.002,1.134,0.0,0.0,0.956,1.27
