,pluno,bndno,type5,type4,type3,type2,0,1,2,3,4,5
9895,22000005,22000005,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.7040000000000001
13616,22000008,22000008,22000,2200,220,22,0.7040000000000001,0.0,0.0,0.0,0.0,0.0
9058,22000009,22000009,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,1.786
14252,22000010,22000010,22000,2200,220,22,0.0,8.262,0.38,0.0,0.0,0.0
8045,22000014,22000014,22000,2200,220,22,0.0,0.0,0.0,0.0,0.618,0.49200000000000005
15696,22000029,22000029,22000,2200,220,22,0.0,1.992,1.533,0.003,0.0,0.0
147,22000031,22000031,22000,2200,220,22,0.0,0.0,0.0,0.0,1.288,1.9380000000000002
970,22000049,22000049,22000,2200,220,22,0.0,5.9239999999999995,11.08,7.494,6.968,1.798
14096,22001000,22001000,22001,2200,220,22,0.0,0.982,0.0,0.0,0.0,0.642
9064,22001001,22001001,22001,2200,220,22,0.0,14.538,1.396,0.0,0.0,1.78
12964,22001003,22001003,22001,2200,220,22,0.868,0.0,0.0,0.0,0.0,0.0
8669,22001006,22001006,22001,2200,220,22,0.0,0.0,25.888,18.978,0.0,2.056
8711,22001008,22001008,22001,2200,220,22,6.295999999999999,10.016,2.5919999999999996,0.0,0.0,0.0
8300,22001012,22001012,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.546
14973,22001038,22001038,22001,2200,220,22,8.309999999999999,6.178,4.5760000000000005,2.204,2.0060000000000002,1.4659999999999997
13984,22002002,22002002,22002,2200,220,22,0.0,0.636,0.0,0.0,0.0,0.0
9098,22002006,22002006,22002,2200,220,22,0.0,0.0,0.0,0.0,1.188,0.0
13714,22002008,22002008,22002,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.6779999999999999
15814,22002239,22002239,22002,2200,220,22,0.0,0.0,0.0,0.0,14.144000000000002,11.856000000000002
15943,22002240,22002240,22002,2200,220,22,0.0,0.0,0.002,6.667999999999999,18.561999999999998,2.043
100,22002242,22002242,22002,2200,220,22,0.0,0.0,0.0,0.0,1.624,0.998
13431,22003000,22003000,22003,2200,220,22,0.0,0.0,0.414,0.0,0.0,0.0
7495,22003002,22003002,22003,2200,220,22,0.0,0.0,0.0,0.0,0.484,2.554
644,22004008,22004008,22004,2200,220,22,0.0,0.0,0.002,1.898,2.003,0.0
13444,22005000,22005000,22005,2200,220,22,0.0,0.0,0.0,3.026,3.952,0.001
14309,22005001,22005001,22005,2200,220,22,0.0,0.0,0.0,0.0,0.474,0.0
14543,22005006,22005006,22005,2200,220,22,0.0,0.0,0.0,0.0,1.876,1.46
8069,22007004,22007004,22007,2200,220,22,0.0,0.684,0.0,0.0,0.0,0.0
9470,22007005,22007005,22007,2200,220,22,4.526,1.3479999999999999,1.118,2.3840000000000003,0.43,0.7240000000000001
165,22007008,22007008,22007,2200,220,22,0.0,0.0,0.0,0.0,0.0,1.532
14051,22007011,22007011,22007,2200,220,22,0.0,1.103,1.072,0.001,0.0,0.0
11391,22007019,22007019,22007,2200,220,22,0.0,0.358,0.0,0.0,0.0,0.0
9236,22007022,22007022,22007,2200,220,22,0.0,0.0,0.0,0.434,0.0,0.978
88,22007026,22007026,22007,2200,220,22,0.0,0.516,5.776,0.0,0.0,0.0
2231,22007027,22007027,22007,2200,220,22,6.2280000000000015,0.0,0.624,0.0,0.0,0.0
1919,22007031,22007031,22007,2200,220,22,0.5,1.4,3.5,0.0,1.2850000000000001,6.574999999999999
14267,22008000,22008000,22008,2200,220,22,0.0,0.498,0.0,0.0,0.0,0.0
12791,22008001,22008001,22008,2200,220,22,2.078,4.518000000000001,2.2720000000000002,0.0,0.0,0.0
13664,22008007,22008007,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.126
13497,22008009,22008009,22008,2200,220,22,0.0,0.0,0.0,1.6019999999999999,3.06,2.6500000000000004
14080,22008011,22008011,22008,2200,220,22,1.984,1.22,1.6740000000000002,0.618,0.0,0.0
13863,22008012,22008012,22008,2200,220,22,13.196,2.634,13.762,23.125999999999998,7.454,0.304
500,22008017,22008017,22008,2200,220,22,0.0,0.87,0.0,0.0,0.0,0.0
14967,22008019,22008019,22008,2200,220,22,7.411,14.102000000000002,15.004000000000001,10.396999999999998,3.1020000000000003,1.8900000000000001
9980,22008020,22008020,22008,2200,220,22,8.645999999999999,11.071,6.91,15.044,4.516,0.99
8511,22008021,22008021,22008,2200,220,22,11.311000000000002,7.033,3.736,8.84,1.003,3.36
11799,22008022,22008022,22008,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.166
19197,22008029,22008029,22008,2200,220,22,0.001,0.0,0.0,0.0,0.0,0.0
8088,22010001,22010001,22010,2201,220,22,5.2330000000000005,3.188,0.0,0.0,0.0,0.0
9346,22010003,22010003,22010,2201,220,22,0.0,0.0,0.8079999999999999,0.0,0.0,0.0
14336,22010005,22010005,22010,2201,220,22,0.0,0.9420000000000001,0.0,0.0,0.0,0.0
15024,22010022,22010022,22010,2201,220,22,0.001,0.0,0.0,0.0,0.0,0.0
11446,22010029,22010029,22010,2201,220,22,0.28,0.0,0.0,0.0,0.0,0.0
14861,22010032,22010032,22010,2201,220,22,0.696,0.0,0.342,0.0,0.345,1.604
13841,22010033,22010033,22010,2201,220,22,3.54,5.088,0.0,0.0,0.0,0.0
10236,22010034,22010034,22010,2201,220,22,0.0,0.9359999999999999,3.7820000000000005,0.0,0.0,0.0
14348,22012000,22012000,22012,2201,220,22,12.120000000000001,3.352,0.0,0.0,0.0,0.0
14851,22012011,22012011,22012,2201,220,22,15.07,0.0,0.0,0.0,0.0,0.0
19815,22012023,22012023,22012,2201,220,22,1.744,0.0,0.0,0.0,0.0,0.0
10123,22013004,22013004,22013,2201,220,22,0.9440000000000001,0.0,0.0,0.0,0.0,0.0
9841,22013005,22013005,22013,2201,220,22,0.568,1.068,0.0,0.0,0.0,0.0
