,pluno,mybndno,type5,type4,type3,type2,0,1,2,3,4,5
9895,22000005,8281,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.7040000000000001
13616,22000008,856,22000,2200,220,22,0.7040000000000001,0.0,0.0,0.0,0.0,0.0
9058,22000009,7989,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.6659999999999999
9062,22000009,8097,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,1.12
14252,22000010,2148,22000,2200,220,22,0.0,1.9140000000000001,0.0,0.0,0.0,0.0
14245,22000010,2382,22000,2200,220,22,0.0,0.8140000000000001,0.0,0.0,0.0,0.0
14258,22000010,2474,22000,2200,220,22,0.0,0.5660000000000001,0.0,0.0,0.0,0.0
14247,22000010,2488,22000,2200,220,22,0.0,1.358,0.0,0.0,0.0,0.0
14259,22000010,2582,22000,2200,220,22,0.0,0.9520000000000001,0.0,0.0,0.0,0.0
14251,22000010,2643,22000,2200,220,22,0.0,1.046,0.0,0.0,0.0,0.0
14250,22000010,2654,22000,2200,220,22,0.0,0.9159999999999999,0.0,0.0,0.0,0.0
14246,22000010,2692,22000,2200,220,22,0.0,0.696,0.0,0.0,0.0,0.0
14253,22000010,2981,22000,2200,220,22,0.0,0.0,0.38,0.0,0.0,0.0
8045,22000014,6929,22000,2200,220,22,0.0,0.0,0.0,0.0,0.618,0.0
8070,22000014,7732,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.49200000000000005
15696,22000029,2548,22000,2200,220,22,0.0,1.992,0.0,0.0,0.0,0.0
15704,22000029,3183,22000,2200,220,22,0.0,0.0,1.022,0.0,0.0,0.0
15699,22000029,3201,22000,2200,220,22,0.0,0.0,0.001,0.0,0.0,0.0
15613,22000029,3658,22000,2200,220,22,0.0,0.0,0.508,0.0,0.0,0.0
15614,22000029,3662,22000,2200,220,22,0.0,0.0,0.002,0.0,0.0,0.0
15707,22000029,4685,22000,2200,220,22,0.0,0.0,0.0,0.003,0.0,0.0
147,22000031,6189,22000,2200,220,22,0.0,0.0,0.0,0.0,0.7020000000000001,0.0
168,22000031,6766,22000,2200,220,22,0.0,0.0,0.0,0.0,0.586,0.0
145,22000031,7135,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.65
146,22000031,7161,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.688
15560,22000031,7591,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.6
970,22000049,1764,22000,2200,220,22,0.0,2.026,0.0,0.0,0.0,0.0
948,22000049,2311,22000,2200,220,22,0.0,1.17,0.0,0.0,0.0,0.0
942,22000049,2372,22000,2200,220,22,0.0,1.526,0.0,0.0,0.0,0.0
944,22000049,2669,22000,2200,220,22,0.0,1.202,0.0,0.0,0.0,0.0
947,22000049,3329,22000,2200,220,22,0.0,0.0,1.048,0.0,0.0,0.0
937,22000049,3377,22000,2200,220,22,0.0,0.0,2.406,0.0,0.0,0.0
941,22000049,3830,22000,2200,220,22,0.0,0.0,0.662,0.0,0.0,0.0
935,22000049,3859,22000,2200,220,22,0.0,0.0,1.34,0.0,0.0,0.0
933,22000049,3863,22000,2200,220,22,0.0,0.0,0.924,0.0,0.0,0.0
936,22000049,3917,22000,2200,220,22,0.0,0.0,1.996,0.0,0.0,0.0
928,22000049,3954,22000,2200,220,22,0.0,0.0,1.078,0.0,0.0,0.0
908,22000049,4058,22000,2200,220,22,0.0,0.0,1.626,0.0,0.0,0.0
958,22000049,4448,22000,2200,220,22,0.0,0.0,0.0,1.656,0.0,0.0
966,22000049,4676,22000,2200,220,22,0.0,0.0,0.0,0.9840000000000001,0.0,0.0
962,22000049,4737,22000,2200,220,22,0.0,0.0,0.0,1.4480000000000002,0.0,0.0
921,22000049,4883,22000,2200,220,22,0.0,0.0,0.0,0.528,0.0,0.0
889,22000049,5080,22000,2200,220,22,0.0,0.0,0.0,1.702,0.0,0.0
907,22000049,5297,22000,2200,220,22,0.0,0.0,0.0,1.176,0.0,0.0
888,22000049,5848,22000,2200,220,22,0.0,0.0,0.0,0.0,0.69,0.0
870,22000049,5953,22000,2200,220,22,0.0,0.0,0.0,0.0,1.308,0.0
975,22000049,6191,22000,2200,220,22,0.0,0.0,0.0,0.0,1.666,0.0
1000,22000049,6306,22000,2200,220,22,0.0,0.0,0.0,0.0,1.136,0.0
979,22000049,6565,22000,2200,220,22,0.0,0.0,0.0,0.0,0.956,0.0
974,22000049,6896,22000,2200,220,22,0.0,0.0,0.0,0.0,1.212,0.0
545,22000049,7673,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.728
546,22000049,7946,22000,2200,220,22,0.0,0.0,0.0,0.0,0.0,1.07
