,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
25012012,1.304,0.47,0.0,1.35,0.0,0.0,0.0,0.244,0.204,0.0,0.24,0.552,0.0,0.0,0.0,0.28800000000000003,0.34,0.348,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.0,0.406
25111021,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22511000,0.44799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.134,0.33799999999999997,0.0,0.278,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.318,0.0,0.10400000000000001,0.0,0.0,0.0,0.0
22008021,1.863,3.64,4.902000000000001,0.9059999999999999,1.3399999999999999,0.55,0.512,4.134,0.497,3.24,0.496,0.0,0.0,5.877999999999999,1.8159999999999998,1.146,0.0,0.0,0.001,0.0,1.002,1.134,0.0,0.0,0.956,1.27
22013008,16.706,9.932000000000002,5.6240000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22120039,1.462,0.9640000000000001,0.266,0.0,0.8140000000000001,0.428,0.0,0.0,1.8559999999999999,0.306,0.0,0.0,0.0,0.40399999999999997,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25111048,6.0,2.0,8.0,5.0,2.0,4.0,10.0,10.0,0.0,5.0,8.0,6.0,10.0,7.0,16.0,6.0,8.0,4.0,8.0,12.0,6.0,4.0,0.0,6.0,2.0,8.0
22120015,0.001,0.538,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22120044,2.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22103007,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27300274,8.883999999999999,2.134,11.612000000000002,4.014,5.848,2.8,7.858,3.9219999999999997,4.962000000000001,0.506,2.77,3.4840000000000004,1.544,4.736,1.7999999999999998,0.788,0.902,2.83,1.94,2.7960000000000003,1.1179999999999999,3.2139999999999995,1.0,0.51,4.196,0.827
22190002,0.9660000000000001,0.33,0.348,0.0,0.23800000000000002,0.0,0.214,0.0,0.0,0.0,0.784,0.0,0.0,0.20800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0
23110001,178.0,88.0,52.0,47.8,101.8,83.6,100.8,55.0,230.6,88.0,176.98000000000002,75.0,213.0,67.0,132.0,40.0,202.0,74.0,48.0,27.0,163.0,148.0,33.0,2.0,49.0,25.0
22103005,3.6340000000000003,0.0,1.654,0.644,1.9699999999999998,0.498,0.0,0.76,0.51,0.0,3.9139999999999997,4.4239999999999995,3.0380000000000003,1.7760000000000002,0.0,1.472,2.164,1.198,3.2220000000000004,0.0,1.956,0.0,0.556,0.0,1.324,0.0
22172000,1.482,0.8,0.24,0.282,0.0,0.302,0.0,0.0,0.0,0.0,1.498,1.038,1.4339999999999997,1.21,1.26,0.242,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22103004,12.298,1.51,6.145999999999999,5.466,1.1320000000000001,0.486,3.2140000000000004,4.894,1.794,1.946,4.144,0.0,11.670000000000002,0.0,0.0,0.98,0.0,2.6460000000000004,2.35,7.452,1.548,0.0,0.0,0.0,4.586,0.0
25120016,0.097,0.015,0.003,0.008,0.030000000000000002,0.02,0.04400000000000001,0.034,0.01,0.027,0.019000000000000003,0.024,0.033,0.01,0.033,0.005,0.017,0.011,0.009000000000000001,0.001,0.018000000000000002,0.019,0.026000000000000002,0.027000000000000003,0.032,0.022000000000000002
22101001,2.1340000000000003,1.248,1.666,1.178,1.294,1.132,0.756,1.5099999999999998,0.604,0.246,0.332,0.866,0.516,0.38,0.594,0.0,0.88,0.732,1.1,0.566,1.118,0.632,0.0,0.494,0.298,0.272
22710003,1.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22601000,3.748,2.622,5.2940000000000005,11.26,2.9219999999999997,0.0,5.808000000000001,1.67,0.0,0.6659999999999999,1.974,12.238000000000001,11.200000000000001,4.838,0.41600000000000004,0.0,3.386,3.634,0.972,5.481999999999999,0.0,1.216,1.6219999999999999,1.956,3.276,7.271999999999999
22102014,4.5440000000000005,4.62,4.274,4.112,2.068,1.506,1.9040000000000001,2.02,7.9559999999999995,3.876,4.792,7.380000000000001,7.364,0.638,5.1899999999999995,11.854000000000001,8.27,10.255999999999998,6.938000000000001,4.728,5.14,8.379999999999999,5.704000000000001,2.04,4.102,2.314
22500022,0.782,1.264,0.0,1.492,0.0,4.338,0.0,7.814,10.952,4.654,2.246,0.0,0.9420000000000001,2.224,7.792,5.83,8.468000000000002,3.572,2.638,11.972,4.8340000000000005,8.245999999999999,1.588,4.822,0.0,0.0
22102005,1.034,2.892,1.006,1.8039999999999998,1.948,0.354,3.0,1.688,0.218,2.298,4.116,2.3920000000000003,11.674,3.3179999999999996,3.99,5.966,7.528,6.178000000000001,4.696000000000001,8.437999999999999,2.8280000000000003,1.048,0.44,1.1199999999999999,0.29,1.218
22190000,3.5500000000000003,0.40399999999999997,3.9260000000000006,1.152,2.426,2.078,1.4,0.0,1.708,0.74,0.696,1.1920000000000002,0.0,0.001,0.001,0.002,0.002,0.424,0.002,0.0,0.001,0.002,0.0,0.0,0.001,0.003
22602000,0.33,0.0,0.0,0.0,0.0,0.0,0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200000000000005
23133017,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23132068,1.346,0.31,0.46,0.608,0.27399999999999997,0.0,0.254,0.716,0.726,0.0,2.284,0.88,1.67,4.096,0.384,4.862,2.9760000000000004,2.756,0.7780000000000001,0.452,2.362,0.616,2.01,1.528,2.066,2.09
22120004,1.21,1.234,10.431999999999999,0.0,0.0,0.5660000000000001,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22120005,0.43,0.796,2.74,0.674,0.0,0.0,0.586,0.0,0.0,0.0,0.646,0.0,0.0,0.34,0.0,0.15,0.0,0.0,0.0,0.292,0.0,0.382,0.0,0.0,0.0,0.0
22111008,0.826,0.0,1.7719999999999998,0.0,0.838,1.68,2.6799999999999997,0.0,0.0,0.005,0.0,1.778,0.0,0.0,0.0,0.0,0.0,0.706,0.44,0.0,0.574,1.006,0.0,0.0,2.154,0.0
22830003,0.244,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.08,0.092,0.0,0.168,0.0,0.11199999999999999,0.0,0.132,0.0,0.0,0.0,0.172
22830000,0.22,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22712001,1.04,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.126,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22713004,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22713001,2.7060000000000004,0.47200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22132010,0.192,0.0,0.946,0.001,0.43799999999999994,0.0,0.422,0.0,0.292,0.0,0.0,0.39,0.964,0.39399999999999996,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.0,0.188,0.28,0.0
22130011,0.8560000000000001,0.0,0.0,0.5800000000000001,0.662,0.0,0.025,0.0,0.02,0.318,1.318,0.488,0.637,0.44,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27200939,0.48200000000000004,0.0,1.1,0.55,0.5579999999999999,0.47600000000000003,0.0,1.008,0.0,0.504,0.442,0.272,0.0,0.34600000000000003,0.0,1.3639999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27240000,678.0,304.0,228.0,776.0,720.0,0.0,0.0,308.0,0.0,206.0,604.0,0.0,1526.0,330.0,606.0,1272.0,2028.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,1052.0
27000576,0.017,0.017,0.005,0.016,0.065,0.02,0.014000000000000002,0.024,0.01,0.032,0.024,0.0,0.02,0.011,0.022,0.016,0.026000000000000002,0.009000000000000001,0.0,0.022,0.015,0.014000000000000002,0.006999999999999999,0.0,0.016,0.02
23134003,0.004,0.007,0.002,0.003,0.002,0.005,0.003,0.007,0.002,0.602,0.001,0.001,0.003,0.005,0.007,0.005,0.005,0.003,0.001,0.001,0.005,0.004,0.001,0.003,0.002,0.004
23121052,1.48,0.126,0.446,0.852,0.496,0.0,0.632,0.29600000000000004,0.214,0.0,1.204,0.0,1.1860000000000002,0.6719999999999999,0.0,0.0,0.51,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
22032000,3.38,0.0,2.466,1.5419999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22040007,0.96,0.0,0.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27002045,0.8620000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27002166,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
27002165,0.314,0.0,0.0,0.19399999999999998,0.23199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19399999999999998,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.142,0.0,0.42,0.0,0.0
27400855,0.002,0.0,0.002,0.003,0.0,0.0,0.004,0.002,0.0,0.002,0.003,0.001,0.002,0.0,0.003,0.001,0.001,0.0,0.003,0.001,0.0,0.001,0.003,0.001,0.0,0.002
27410000,0.037,0.025,0.037,0.032,0.037000000000000005,0.045,0.078,0.034999999999999996,0.049,0.043,0.015,0.038,0.057999999999999996,0.08800000000000002,0.06199999999999999,0.053,0.048999999999999995,0.047,0.018000000000000002,0.053,0.04,0.05799999999999999,0.06199999999999999,0.02,0.057,0.07200000000000001
27300273,5.95,1.25,3.25,6.5,23.75,3.75,1.25,5.0,7.5,6.25,6.25,1.25,16.0,28.0,32.0,5.0,24.0,20.0,5.0,19.0,23.0,28.0,10.0,20.0,23.0,30.0
22701003,1.203,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.444,0.256,0.36,0.0,0.16399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22040009,0.008,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22631002,1.438,0.0,0.0,0.0,0.0,0.0,1.204,0.0,1.172,0.0,0.42200000000000004,0.0,0.0,0.508,0.282,1.926,0.856,0.0,0.28800000000000003,0.0,0.444,0.8620000000000001,0.0,0.276,0.0,0.0
27002560,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27002557,0.23600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22111015,1.234,0.0,1.582,0.0,0.5720000000000001,0.5660000000000001,0.452,1.3900000000000001,2.4499999999999997,0.0,0.6859999999999999,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23120001,1.6600000000000001,0.768,1.32,0.49,0.296,0.22399999999999998,0.7500000000000001,0.11199999999999999,1.4900000000000002,0.0,0.724,0.49,0.262,0.45199999999999996,1.098,0.602,0.536,4.058,3.372,0.388,1.1760000000000002,1.4140000000000001,1.6560000000000001,0.652,0.798,1.2200000000000002
27300276,0.376,0.0,0.33,0.0,0.534,0.0,0.0,0.0,0.18,0.0,1.032,0.158,0.248,0.28800000000000003,0.304,0.304,0.266,0.0,1.404,0.0,0.0,1.504,0.0,0.53,0.0,0.56
